title,rating,genre
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo"
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo"
Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo"
Futakoi,6.49,"Comedy, Romance, School"
Futakoi Alternative,6.91,"Comedy, Drama, Romance"
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen"
Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen"
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural"
Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life"
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi"
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural"
Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen"
Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen"
Hunter x Hunter: Greed Island,8.21,"Action, Adventure, Super Power, Fantasy, Shounen"
Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen"
Jinki:Extend,6.14,"Mecha, Sci-Fi"
Kamikaze Kaitou Jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai"
Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural"
Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life"
Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life"
Kita e.: Diamond Dust Drops,6.62,"Drama, Romance, Slice of Life"
Loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai"
Blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire"
Re: Cutey Honey,7.12,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai"
Solty Rei,7.28,"Action, Sci-Fi, Super Power"
Juuni Kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural"
Shaman King,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
X/1999,6.59,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural"
X,7.43,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo"
Mahou Sensei Negima!,6.98,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural"
Maria-sama ga Miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai"
Boukyaku no Senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural"
"Ima, Soko ni Iru Boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi"
Peace Maker Kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen"
Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen"
Power Stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen"
Mononoke Hime,8.72,"Action, Adventure, Fantasy"
RahXephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi"
Samurai 7,7.48,"Historical, Mecha, Samurai, Sci-Fi"
Scrapped Princess,7.41,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen"
s.CRY.ed,7.38,"Action, Sci-Fi, Adventure, Super Power, Drama"
Shingetsutan Tsukihime,6.91,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire"
Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports"
Strange Dawn,6.35,"Adventure, Drama, Fantasy"
Tactics,7.23,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen"
Tenjou Tenge,6.93,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen"
Tokyo Underground,6.63,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power"
Triangle Heart: Sweet Songs Forever,6.19,"Adventure, Romance"
Tsubasa Chronicle,7.55,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen"
Ultra Maniac,7.18,"Comedy, Magic, Romance, School, Shoujo"
Ultra Maniac OVA,6.69,"Comedy, Magic, Romance, School"
Vandread,7.21,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
Vandread: The Second Stage,7.42,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
Tenkuu no Escaflowne,7.7,"Adventure, Psychological, Romance, Fantasy, Mecha"
Whistle!,7.39,"School, Shounen, Sports"
Xenosaga The Animation,6.37,"Action, Mecha, Sci-Fi, Shounen, Space"
Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports"
Initial D Second Stage,8.12,"Action, Cars, Drama, Seinen, Sports"
Initial D Third Stage,7.89,"Action, Cars, Sports, Drama, Romance, Seinen"
Gosenzo San'e,6.11,"Comedy, Hentai, Mystery, Supernatural"
Love Hina,7.14,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life"
Love Hina Again,7.25,"Comedy, Drama, Ecchi, Romance, Shounen"
Love Hina Christmas Special: Silent Eve,7.34,"Slice of Life, Comedy, Romance"
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.21,"Adventure, Comedy, Romance"
Maburaho,6.8,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School"
Macross Zero,7.55,"Adventure, Mecha, Military, Sci-Fi, Shounen"
Onegai☆Teacher,7.17,"Sci-Fi, Comedy, Drama, Romance, School"
Onegai☆Twins,6.88,"Comedy, Drama, Harem, School, Sci-Fi"
Rizelmine,6.55,"Sci-Fi, Comedy, Romance, Ecchi, School"
Speed Grapher,7.35,"Action, Mystery, Super Power"
Sen to Chihiro no Kamikakushi,8.83,"Adventure, Supernatural, Drama"
Tenshi na Konamaiki,7.48,"Comedy, Magic, Romance, Shounen"
Video Girl Ai,7.21,"Comedy, Drama, Ecchi, Romance"
Wolf's Rain,7.82,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi"
Words Worth,6.75,"Adventure, Hentai, Demons, Magic, Fantasy"
Yumeria,6.11,"Action, Comedy, Ecchi, Harem, Super Power"
Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen"
Lodoss-tou Senki: Eiyuu Kishi Den,7.16,"Action, Adventure, Drama, Magic, Romance, Fantasy"
Lodoss-tou Senki,7.4,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural"
R.O.D: Read or Die,7.67,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic"
R.O.D: The TV,7.55,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama"
Ranma ½,7.76,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen"
Pure Mail,6.26,Hentai
Project A-Ko,6.86,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power"
Pia Carrot e Youkoso!!,6.02,"Comedy, Romance, Hentai"
Pia Carrot e Youkoso!! 2,6.15,"Comedy, Romance, Hentai"
Pia Carrot e Youkoso!! 2 DX,6.31,"Comedy, Romance"
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,"Comedy, Romance"
Shin Angel,6.28,"Comedy, Drama, Hentai, Romance"
Kidou Senkan Nadesico,7.52,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space"
Kidou Senkan Nadesico: The Prince of Darkness,6.77,"Action, Comedy, Drama, Mecha, Psychological, Sci-Fi, Shounen, Space"
Kuro no Danshou,5.76,"Hentai, Horror"
Mezzo Forte,6.65,"Action, Comedy, Hentai, Sci-Fi"
Mezzo DSA,6.68,"Action, Adventure, Comedy, Mystery, Sci-Fi"
Dragon Ball,8,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
Dragon Ball GT,6.48,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen"
Elfen Lied,7.56,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen"
FLCL,8.03,"Action, Sci-Fi, Comedy, Parody, Dementia, Psychological, Mecha"
Jigoku Shoujo,7.65,"Mystery, Horror, Psychological, Supernatural"
Ninin ga Shinobuden,6.92,"Comedy, Parody, Martial Arts"
Air Master,7.02,"Action, Comedy, Martial Arts, Seinen"
Asagiri no Miko,6.18,"Action, Comedy, Supernatural, Fantasy, Seinen"
Cardcaptor Sakura,8.16,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
Daa! Daa! Daa!,7.65,"Comedy, Sci-Fi, Shoujo"
Dan Doh!!,6.69,"Adventure, Sports, Shounen"
Detective Conan,8.16,"Adventure, Mystery, Comedy, Police, Shounen"
E's Otherwise,6.64,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural"
